1601,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1601,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1601,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1773,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1773,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
1957,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
1957,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
1957,"2013-09-20 00:00:00",Balanced,Little,Long,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
2033,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Contain,Normal,Cover
2033,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Contain,Normal,Cover
2182,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Free Form,Normal,Lots,Lots,Free Form,Medium,Press,Normal,Cover
2182,"2014-09-19 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
2182,"2013-09-20 00:00:00",Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
2183,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Contain,Normal,Cover
2186,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
2186,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Medium,Press,Normal,Cover
4087,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
4087,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
4087,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6269,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6269,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6391,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6391,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6403,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6403,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6403,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6413,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6413,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6413,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6433,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6433,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6547,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
6631,"2015-09-10 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7730,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7730,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7788,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7788,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7794,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7794,"2014-09-19 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7794,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7819,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7819,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7819,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7841,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7841,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7841,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7842,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7842,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7842,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
7844,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7844,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7844,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
7869,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7869,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7869,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
7878,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7878,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Risky,Lots,Normal,Organised,Medium,Press,Normal,Cover
7878,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Risky,Lots,Normal,Organised,Medium,Press,Wide,Cover
7943,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
7943,"2014-09-19 00:00:00",Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Offside Trap
7943,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Offside Trap
8019,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8021,"2014-09-19 00:00:00",Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8021,"2013-09-20 00:00:00",Slow,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
8023,"2015-09-10 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8023,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8023,"2013-09-20 00:00:00",Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8024,"2014-09-19 00:00:00",Balanced,Normal,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8024,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8025,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8025,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8025,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Risky,Little,Lots,Organised,Deep,Contain,Normal,Cover
8027,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8027,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
8028,"2015-09-10 00:00:00",Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8028,"2014-09-19 00:00:00",Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8028,"2013-09-20 00:00:00",Slow,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8030,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8030,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8030,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8033,"2015-09-10 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8033,"2014-09-19 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8033,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8066,"2015-09-10 00:00:00",Balanced,Normal,Short,Organised,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Cover
8066,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8066,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8121,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8121,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8121,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8152,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8152,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
8152,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8165,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8165,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8165,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8177,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8177,"2014-09-19 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8177,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8178,"2015-09-10 00:00:00",Fast,Little,Mixed,Organised,Risky,Normal,Normal,Organised,Medium,Double,Normal,Cover
8178,"2014-09-19 00:00:00",Fast,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8178,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8191,"2015-09-10 00:00:00",Balanced,Little,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
8191,"2014-09-19 00:00:00",Balanced,Little,Long,Organised,Risky,Normal,Normal,Organised,Medium,Press,Normal,Cover
8191,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8194,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8194,"2014-09-19 00:00:00",Fast,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8194,"2013-09-20 00:00:00",Balanced,Little,Long,Organised,Normal,Lots,Normal,Organised,Deep,Press,Normal,Cover
8197,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8197,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8197,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8203,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8203,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8203,"2013-09-20 00:00:00",Balanced,Little,Short,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
8226,"2015-09-10 00:00:00",Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8226,"2014-09-19 00:00:00",Fast,Normal,Mixed,Organised,Risky,Normal,Normal,Free Form,Medium,Press,Normal,Cover
8226,"2013-09-20 00:00:00",Slow,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8234,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8234,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Organised,Medium,Press,Normal,Cover
8234,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8244,"2014-09-19 00:00:00",Balanced,Normal,Long,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8244,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8245,"2015-09-10 00:00:00",Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8245,"2014-09-19 00:00:00",Fast,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8245,"2013-09-20 00:00:00",Fast,Little,Mixed,Organised,Normal,Normal,Lots,Organised,Medium,Press,Normal,Cover
8262,"2015-09-10 00:00:00",Balanced,Normal,Long,Organised,Normal,Lots,Normal,Organised,Deep,Press,Normal,Cover
8277,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Free Form,Normal,Normal,Lots,Free Form,Medium,Press,Normal,Cover
8277,"2014-09-19 00:00:00",Balanced,Normal,Short,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8277,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8284,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Safe,Normal,Normal,Organised,Medium,Press,Normal,Cover
8284,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8295,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8295,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8302,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8302,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8302,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8305,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8305,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8305,"2013-09-20 00:00:00",Slow,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8306,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8306,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8306,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8315,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
8315,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8315,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Free Form,Medium,Press,Wide,Cover
8342,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8342,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8342,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8344,"2015-09-10 00:00:00",Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8344,"2014-09-19 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Deep,Press,Normal,Cover
8344,"2013-09-20 00:00:00",Balanced,Little,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8348,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8348,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8350,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8350,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8350,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8357,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8357,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8357,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Narrow,Cover
8358,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Narrow,Cover
8358,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Little,Normal,Free Form,Medium,Press,Normal,Cover
8358,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free Form,Medium,Press,Normal,Cover
8370,"2015-09-10 00:00:00",Slow,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8370,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8370,"2013-09-20 00:00:00",Balanced,Little,Mixed,Free Form,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8371,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
8371,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8371,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Wide,Cover
8372,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8372,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8388,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8388,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8388,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8394,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8394,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8394,"2013-09-20 00:00:00",Balanced,Little,Short,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8398,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8398,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Medium,Press,Normal,Cover
8406,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8406,"2014-09-19 00:00:00",Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8406,"2013-09-20 00:00:00",Balanced,Little,Mixed,Organised,Normal,Lots,Normal,Organised,Deep,Press,Normal,Cover
8426,"2015-09-10 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
8426,"2014-09-19 00:00:00",Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Medium,Press,Normal,Cover
